id,company_name,industry,current_asset,fixed_asset,current_liability,fixed_liability,net_asset,total_asset,total_liability,edinet_code,security_code,fiscal_period_end_date
2573,第一交通産業,陸運業,79652000000,95575000000,59375000000,72322000000,43530000000,175227000000,175227000000,E04222,90350,2019/03/31
2574,ゼロ,陸運業,,,,,,0,0,E04230,90280,2019/06/30
2575,玉井商船,海運業,1700000000,10390406000,1883328000,4779313000,5427765000,12090406000,12090406000,E04246,91270,2019/03/31
2576,栗林商船,海運業,18657990000,38252062000,17033772000,18449076000,21427204000,56910052000,56910052000,E04254,91710,2019/03/31
2577,澁澤倉庫,倉庫・運輸関連,30226000000,67808000000,22902000000,31878000000,43254000000,98034000000,98034000000,E04286,93040,2019/03/31
2578,杉村倉庫,倉庫・運輸関連,7952535000,15886709000,2482133000,8831640000,12525471000,23839244000,23839244000,E04294,93070,2019/03/31
2579,リンコーコーポレーション,倉庫・運輸関連,4615232000,33075994000,9770430000,12910660000,15010136000,37691226000,37691226000,E04326,93550,2019/03/31
2580,福山通運,陸運業,73085000000,366807000000,63233000000,124281000000,252378000000,439892000000,439892000000,E04334,90750,2019/03/31
2581,兵機海運,倉庫・運輸関連,3432000000,6466000000,4693000000,2638000000,2567000000,9898000000,9898000000,E04342,93620,2019/03/31
2582,エイチ・アイ・エス,サービス業,348280000000,228951000000,231572000000,221918000000,123741000000,577231000000,577231000000,E04358,96030,2019/10/31
2583,エージーピー,倉庫・運輸関連,7002824000,6672789000,2126648000,2425957000,9123008000,13675613000,13675613000,E04366,93770,2019/03/31
2584,ＲＫＢ毎日ホールディングス,情報・通信業,17064000000,29792000000,4553000000,8185000000,34118000000,46856000000,46856000000,E04382,94070,2019/03/31
2585,テレビ朝日ホールディングス,情報・通信業,175762000000,276237000000,62337000000,35905000000,353757000000,451999000000,451999000000,E04414,94090,2019/03/31
2586,日本電信電話,情報・通信業,,,,,,0,0,E04430,94320,2019/03/31
2587,フジ・メディア・ホールディングス,情報・通信業,407606000000,882319000000,190782000000,356353000000,742790000000,1289925000000,1289925000000,E04462,46760,2019/03/31
2588,スペースシャワーネットワーク,情報・通信業,5373074000,2654791000,2590130000,996505000,4441230000,8027865000,8027865000,E04478,48380,2019/03/31
2589,中部電力,電気・ガス業,1093754000000,4893772000000,1733792000000,2386924000000,1866810000000,5987526000000,5987526000000,E04502,95020,2019/03/31
2590,電源開発,電気・ガス業,364508000000,2401671000000,298219000000,1622378000000,845582000000,2766179000000,2766179000000,E04510,95130,2019/03/31
2591,京都ホテル,サービス業,,,,,,0,0,E04550,97230,2019/03/31
2592,ホテル、ニューグランド,サービス業,,,,,,0,0,E04566,97200,2019/11/30
2593,松竹,情報・通信業,48627000000,159728000000,51118000000,64510000000,92727000000,208355000000,208355000000,E04582,96010,2019/02/28
2594,東京楽天地,不動産業,4196170000,40684548000,4350433000,10065664000,30464621000,44880718000,44880718000,E04590,88420,2019/01/31
